# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   15   27  -0.25  -2.26  0.035 -0.008  0.000
   15   28   3.31  -3.14  0.011 -0.001  0.000
   15   29  10.20  -2.91  0.032  0.004 -0.001
   15   30  15.61  -2.79  0.044  0.002 -0.004
   15   31  23.10  -2.71  0.030 -0.007 -0.001
   15   32  29.19  -2.68  0.011 -0.001 -0.001
   15   33  37.71  -2.26  0.028 -0.001  0.000
   15   34  44.98  -1.74  0.009  0.000  0.000
   15   35  54.97  -0.45  0.045  0.030  0.007
   15   36  63.06   0.24  0.065  0.023 -0.005
   15   37  72.96   0.89  0.074  0.015 -0.010
   15   38  81.55   1.51  0.082  0.013 -0.010
   15   39  91.79   1.98  0.126  0.026  0.000
   15   40 100.43   2.13  0.149  0.025 -0.001
   15   41 110.72   2.19  0.151  0.018 -0.006
   15   42 119.70   2.19  0.158  0.009 -0.006
   15   43 130.32   2.16  0.156 -0.004 -0.006
   16   10  26.55  -1.86  0.020 -0.001  0.000
   16   11  17.27  -1.32  0.020 -0.001  0.000
   16   12   4.39  -1.27  0.020 -0.001  0.000
   16   13  -3.17  -1.77  0.020 -0.001  0.000
   16   14 -14.13  -2.70  0.020 -0.001  0.000
   16   15 -18.47  -2.32  0.020 -0.001  0.000
   16   16 -25.54  -1.85  0.020 -0.001  0.000
   16   17 -25.61  -1.22  0.055  0.012  0.000
   16   18 -28.86  -0.99  0.073  0.003 -0.005
   16   19 -27.95  -0.94  0.035 -0.004 -0.003
   16   20 -29.96  -1.15  0.016 -0.001  0.000
   16   21 -27.14  -0.57  0.047  0.015 -0.001
   16   22 -27.27  -0.38  0.090  0.021 -0.003
   16   23 -23.96  -0.51  0.115  0.029 -0.006
   16   24 -23.16  -0.69  0.115  0.007 -0.008
   16   25 -18.90  -0.94  0.099 -0.009 -0.006
   16   26 -17.18  -1.36  0.070 -0.010 -0.001
   16   27 -12.38  -2.03  0.037 -0.014 -0.002
   16   28 -10.03  -2.85  0.011 -0.001  0.000
   16   29  -3.49  -2.63  0.036  0.014 -0.004
   16   30   0.78  -2.45  0.046  0.001 -0.005
   16   31   8.04  -2.29  0.036 -0.010 -0.003
   16   32  13.14  -2.10  0.011 -0.001 -0.001
