#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1n(MeV)            S2n(MeV)
   24   69    535.726 0.509D+01    -3.217 0.434D-01    -4.883 0.858D-01
   24   70    533.834 0.515D+01    -1.892 0.433D-01    -5.109 0.863D-01
   24   71    530.495 0.519D+01    -3.339 0.432D-01    -5.230 0.860D-01
   24   72    528.708 0.523D+01    -1.788 0.438D-01    -5.126 0.864D-01
   24   73    525.251 0.527D+01    -3.458 0.461D-01    -5.245 0.893D-01
   24   74    523.294 0.530D+01    -1.959 0.503D-01    -5.417 0.958D-01
   24   75    519.968 0.535D+01    -3.328 0.559D-01    -5.287 0.106D+00
   24   76    518.115 0.542D+01    -1.855 0.620D-01    -5.184 0.118D+00
   24   78    512.674 0.570D+01     0.000 0.000D+00    -5.447 0.137D+00
   24   80    507.538 0.609D+01     0.000 0.000D+00    -5.142 0.137D+00
   25   15    244.761 0.148D+01     0.000 0.000D+00     0.000 0.000D+00
   25   16    268.543 0.134D+01    23.782 0.914D-02     0.000 0.000D+00
   25   17    289.096 0.119D+01    20.553 0.909D-02    44.335 0.181D-01
   25   18    310.554 0.105D+01    21.457 0.910D-02    42.010 0.180D-01
   25   19    328.829 0.911D+00    18.275 0.921D-02    39.732 0.181D-01
   25   20    348.825 0.793D+00    19.995 0.928D-02    38.270 0.183D-01
   25   21    364.394 0.702D+00    15.568 0.916D-02    35.564 0.183D-01
   25   22    382.157 0.642D+00    17.763 0.879D-02    33.331 0.178D-01
   25   23    396.524 0.607D+00    14.366 0.830D-02    32.129 0.169D-01
   25   24    413.452 0.587D+00    16.927 0.790D-02    31.293 0.160D-01
   25   25    426.334 0.573D+00    12.882 0.790D-02    29.809 0.155D-01
   25   26    440.270 0.567D+00    13.935 0.858D-02    26.817 0.161D-01
   25   27    450.666 0.583D+00    10.395 0.994D-02    24.331 0.182D-01
   25   28    463.537 0.630D+00    12.871 0.112D-01    23.266 0.208D-01
   25   29    471.701 0.678D+00     8.164 0.108D-01    21.035 0.216D-01
   25   30    481.764 0.675D+00    10.062 0.902D-02    18.226 0.190D-01
   25   31    488.806 0.614D+00     7.041 0.864D-02    17.104 0.164D-01
   25   32    497.681 0.538D+00     8.875 0.921D-02    15.917 0.171D-01
   25   33    503.896 0.472D+00     6.215 0.914D-02    15.090 0.179D-01
   25   34    511.831 0.419D+00     7.936 0.902D-02    14.151 0.178D-01
   25   35    517.354 0.386D+00     5.523 0.912D-02    13.459 0.179D-01
   25   36    524.462 0.386D+00     7.109 0.906D-02    12.632 0.181D-01
   25   37    529.386 0.416D+00     4.925 0.857D-02    12.033 0.176D-01
   25   38    535.780 0.460D+00     6.394 0.765D-02    11.319 0.161D-01
   25   39    540.188 0.499D+00     4.408 0.652D-02    10.802 0.140D-01
   25   40    546.104 0.521D+00     5.917 0.570D-02    10.324 0.120D-01
   25   41    549.145 0.523D+00     3.041 0.594D-02     8.957 0.113D-01
   25   42    553.986 0.512D+00     4.841 0.741D-02     7.881 0.130D-01
   25   43    557.223 0.504D+00     3.237 0.955D-02     8.077 0.168D-01
   25   44    561.823 0.526D+00     4.599 0.118D-01     7.836 0.212D-01
   25   45    564.604 0.597D+00     2.780 0.137D-01     7.379 0.254D-01
   25   46    568.666 0.716D+00     4.061 0.150D-01     6.841 0.286D-01
   25   47    571.453 0.868D+00     2.786 0.158D-01     6.847 0.307D-01
   25   48    575.423 0.104D+01     3.969 0.162D-01     6.755 0.319D-01
   25   49    577.952 0.121D+01     2.527 0.170D-01     6.496 0.330D-01
   25   50    581.689 0.138D+01     3.736 0.186D-01     6.263 0.353D-01
   25   51    582.062 0.157D+01     0.371 0.212D-01     4.106 0.395D-01
   25   52    583.548 0.178D+01     1.483 0.240D-01     1.854 0.450D-01
   25   53    583.468 0.200D+01    -0.082 0.258D-01     1.402 0.496D-01
   25   54    583.970 0.222D+01     0.501 0.254D-01     0.419 0.509D-01
   25   55    583.525 0.241D+01    -0.446 0.235D-01     0.055 0.484D-01
   25   56    583.560 0.257D+01     0.034 0.231D-01    -0.412 0.458D-01
   25   57    582.728 0.273D+01    -0.832 0.256D-01    -0.798 0.481D-01
   25   58    582.284 0.291D+01    -0.444 0.286D-01    -1.276 0.540D-01
